WARNING:tensorflow:From train.py:17: The name tf.set_random_seed is deprecated. Please use tf.compat.v1.set_random_seed instead.

WARNING:tensorflow:From train.py:105: The name tf.Session is deprecated. Please use tf.compat.v1.Session instead.

2024-07-01 19:52:39.861307: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2024-07-01 19:52:39.881647: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x7f9e0182ce60 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
2024-07-01 19:52:39.881679: I tensorflow/compiler/xla/service/service.cc:176]   StreamExecutor device (0): Host, Default Version
WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:9: The name tf.placeholder is deprecated. Please use tf.compat.v1.placeholder instead.

WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:19: The name tf.get_variable is deprecated. Please use tf.compat.v1.get_variable instead.

WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:32: dense (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.Dense instead.
WARNING:tensorflow:From /Users/qfy/anaconda3/envs/tensorflow/lib/python3.7/site-packages/tensorflow_core/python/layers/core.py:187: Layer.apply (from tensorflow.python.keras.engine.base_layer) is deprecated and will be removed in a future version.
Instructions for updating:
Please use `layer.__call__` method instead.
WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:225: The name tf.AUTO_REUSE is deprecated. Please use tf.compat.v1.AUTO_REUSE instead.

WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:234: where (from tensorflow.python.ops.array_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.where in 2.0, which has the same broadcast rule as np.where
WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:54: batch_normalization (from tensorflow.python.layers.normalization) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.BatchNormalization instead.  In particular, `tf.control_dependencies(tf.GraphKeys.UPDATE_OPS)` should not be used (consult the `tf.keras.layers.batch_normalization` documentation).
WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/Dice.py:4: The name tf.variable_scope is deprecated. Please use tf.compat.v1.variable_scope instead.

WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:133: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use `tf.cast` instead.
WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:147: The name tf.assign is deprecated. Please use tf.compat.v1.assign instead.

WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:155: The name tf.trainable_variables is deprecated. Please use tf.compat.v1.trainable_variables instead.

WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:156: The name tf.train.GradientDescentOptimizer is deprecated. Please use tf.compat.v1.train.GradientDescentOptimizer instead.

WARNING:tensorflow:From train.py:108: The name tf.global_variables_initializer is deprecated. Please use tf.compat.v1.global_variables_initializer instead.

WARNING:tensorflow:From train.py:109: The name tf.local_variables_initializer is deprecated. Please use tf.compat.v1.local_variables_initializer instead.

WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:195: The name tf.train.Saver is deprecated. Please use tf.compat.v1.train.Saver instead.

[None, 300]
[None, 300]
[None, 300]
[None, 300]
(?, 100, ?, 1200)
[None, 100, 300]
[None, 2]
test_gauc: 0.5017	 test_auc: 0.5008
Epoch 0 Global_step 1000	Train_loss: 0.6870	Eval_GAUC: 0.6601	Eval_AUC: 0.6605
Epoch 0 Global_step 2000	Train_loss: 0.6712	Eval_GAUC: 0.6034	Eval_AUC: 0.6036
Epoch 0 Global_step 3000	Train_loss: 0.6356	Eval_GAUC: 0.6348	Eval_AUC: 0.6368
Epoch 0 Global_step 4000	Train_loss: 0.6125	Eval_GAUC: 0.6837	Eval_AUC: 0.6846
Epoch 0 Global_step 5000	Train_loss: 0.5973	Eval_GAUC: 0.7233	Eval_AUC: 0.7257
Epoch 0 Global_step 6000	Train_loss: 0.5940	Eval_GAUC: 0.7155	Eval_AUC: 0.7164
Epoch 0 Global_step 7000	Train_loss: 0.5843	Eval_GAUC: 0.7308	Eval_AUC: 0.7314
Epoch 0 Global_step 8000	Train_loss: 0.5853	Eval_GAUC: 0.7466	Eval_AUC: 0.7488
Epoch 0 Global_step 9000	Train_loss: 0.5797	Eval_GAUC: 0.7462	Eval_AUC: 0.7494
Epoch 0 Global_step 10000	Train_loss: 0.5787	Eval_GAUC: 0.7388	Eval_AUC: 0.7522
Epoch 0 Global_step 11000	Train_loss: 0.5734	Eval_GAUC: 0.8498	Eval_AUC: 0.8572
Epoch 0 Global_step 12000	Train_loss: 0.5722	Eval_GAUC: 0.7439	Eval_AUC: 0.7724
Epoch 0 Global_step 13000	Train_loss: 0.5709	Eval_GAUC: 0.7397	Eval_AUC: 0.7583
Epoch 0 Global_step 14000	Train_loss: 0.5716	Eval_GAUC: 0.7897	Eval_AUC: 0.8161
Epoch 0 Global_step 15000	Train_loss: 0.5671	Eval_GAUC: 0.7631	Eval_AUC: 0.7893
Epoch 0 Global_step 16000	Train_loss: 0.5638	Eval_GAUC: 0.7909	Eval_AUC: 0.8132
Epoch 0 Global_step 17000	Train_loss: 0.5615	Eval_GAUC: 0.7808	Eval_AUC: 0.7881
Epoch 0 Global_step 18000	Train_loss: 0.5555	Eval_GAUC: 0.8739	Eval_AUC: 0.8787
Epoch 0 Global_step 19000	Train_loss: 0.5515	Eval_GAUC: 0.7727	Eval_AUC: 0.7832
Epoch 0 Global_step 20000	Train_loss: 0.5468	Eval_GAUC: 0.8738	Eval_AUC: 0.8827
Epoch 0 Global_step 21000	Train_loss: 0.5484	Eval_GAUC: 0.7785	Eval_AUC: 0.7898
Epoch 0 Global_step 22000	Train_loss: 0.5461	Eval_GAUC: 0.7896	Eval_AUC: 0.8088
Epoch 0 Global_step 23000	Train_loss: 0.5426	Eval_GAUC: 0.8572	Eval_AUC: 0.8695
Epoch 0 Global_step 24000	Train_loss: 0.5402	Eval_GAUC: 0.8547	Eval_AUC: 0.8681
Epoch 0 Global_step 25000	Train_loss: 0.5368	Eval_GAUC: 0.7931	Eval_AUC: 0.8138
Epoch 0 Global_step 26000	Train_loss: 0.5446	Eval_GAUC: 0.8221	Eval_AUC: 0.8329
Epoch 0 Global_step 27000	Train_loss: 0.5369	Eval_GAUC: 0.8407	Eval_AUC: 0.8508
Epoch 0 Global_step 28000	Train_loss: 0.5331	Eval_GAUC: 0.8197	Eval_AUC: 0.8294
Epoch 0 Global_step 29000	Train_loss: 0.5361	Eval_GAUC: 0.8498	Eval_AUC: 0.8661
Epoch 0 Global_step 30000	Train_loss: 0.5416	Eval_GAUC: 0.8044	Eval_AUC: 0.8256
Epoch 0 Global_step 31000	Train_loss: 0.5342	Eval_GAUC: 0.7876	Eval_AUC: 0.8057
Epoch 0 Global_step 32000	Train_loss: 0.5280	Eval_GAUC: 0.8705	Eval_AUC: 0.8795
Epoch 0 Global_step 33000	Train_loss: 0.5323	Eval_GAUC: 0.8429	Eval_AUC: 0.8523
Epoch 0 Global_step 34000	Train_loss: 0.5228	Eval_GAUC: 0.8223	Eval_AUC: 0.8409
Epoch 0 Global_step 35000	Train_loss: 0.5254	Eval_GAUC: 0.8376	Eval_AUC: 0.8490
Epoch 0 Global_step 36000	Train_loss: 0.5274	Eval_GAUC: 0.8211	Eval_AUC: 0.8369
Epoch 0 Global_step 37000	Train_loss: 0.5272	Eval_GAUC: 0.8237	Eval_AUC: 0.8419
Epoch 0 Global_step 38000	Train_loss: 0.5264	Eval_GAUC: 0.8187	Eval_AUC: 0.8365
Epoch 0 Global_step 39000	Train_loss: 0.5260	Eval_GAUC: 0.8449	Eval_AUC: 0.8596
Epoch 0 Global_step 40000	Train_loss: 0.5236	Eval_GAUC: 0.8419	Eval_AUC: 0.8564
Epoch 0 Global_step 41000	Train_loss: 0.5243	Eval_GAUC: 0.8410	Eval_AUC: 0.8571
Epoch 0 Global_step 42000	Train_loss: 0.5256	Eval_GAUC: 0.8338	Eval_AUC: 0.8490
Epoch 0 Global_step 43000	Train_loss: 0.5228	Eval_GAUC: 0.8248	Eval_AUC: 0.8401
Epoch 0 Global_step 44000	Train_loss: 0.5215	Eval_GAUC: 0.8326	Eval_AUC: 0.8436
Epoch 0 Global_step 45000	Train_loss: 0.5161	Eval_GAUC: 0.8397	Eval_AUC: 0.8503
Epoch 0 Global_step 46000	Train_loss: 0.5159	Eval_GAUC: 0.8465	Eval_AUC: 0.8582
Epoch 0 Global_step 47000	Train_loss: 0.5169	Eval_GAUC: 0.8264	Eval_AUC: 0.8384
Epoch 0 Global_step 48000	Train_loss: 0.5203	Eval_GAUC: 0.8438	Eval_AUC: 0.8560
Epoch 0 Global_step 49000	Train_loss: 0.5199	Eval_GAUC: 0.8379	Eval_AUC: 0.8480
Epoch 0 Global_step 50000	Train_loss: 0.5129	Eval_GAUC: 0.8409	Eval_AUC: 0.8530
Epoch 0 Global_step 51000	Train_loss: 0.5149	Eval_GAUC: 0.8746	Eval_AUC: 0.8834
Epoch 0 Global_step 52000	Train_loss: 0.5114	Eval_GAUC: 0.8347	Eval_AUC: 0.8459
Epoch 0 Global_step 53000	Train_loss: 0.5134	Eval_GAUC: 0.8502	Eval_AUC: 0.8574
Epoch 0 Global_step 54000	Train_loss: 0.5142	Eval_GAUC: 0.8154	Eval_AUC: 0.8245
Epoch 0 Global_step 55000	Train_loss: 0.5116	Eval_GAUC: 0.8589	Eval_AUC: 0.8685
Epoch 0 Global_step 56000	Train_loss: 0.5094	Eval_GAUC: 0.8389	Eval_AUC: 0.8494
Epoch 0 Global_step 57000	Train_loss: 0.5099	Eval_GAUC: 0.8359	Eval_AUC: 0.8484
Epoch 0 Global_step 58000	Train_loss: 0.5101	Eval_GAUC: 0.8459	Eval_AUC: 0.8542
Epoch 0 Global_step 59000	Train_loss: 0.5073	Eval_GAUC: 0.8349	Eval_AUC: 0.8477
Epoch 0 Global_step 60000	Train_loss: 0.5052	Eval_GAUC: 0.8039	Eval_AUC: 0.8124
Epoch 0 Global_step 61000	Train_loss: 0.5092	Eval_GAUC: 0.8530	Eval_AUC: 0.8600
Epoch 0 Global_step 62000	Train_loss: 0.5076	Eval_GAUC: 0.8653	Eval_AUC: 0.8726
Epoch 0 Global_step 63000	Train_loss: 0.5055	Eval_GAUC: 0.8647	Eval_AUC: 0.8735
Epoch 0 Global_step 64000	Train_loss: 0.5065	Eval_GAUC: 0.8999	Eval_AUC: 0.9052
Epoch 0 Global_step 65000	Train_loss: 0.5015	Eval_GAUC: 0.8914	Eval_AUC: 0.8957
Epoch 0 Global_step 66000	Train_loss: 0.4950	Eval_GAUC: 0.8564	Eval_AUC: 0.8665
Epoch 0 Global_step 67000	Train_loss: 0.5020	Eval_GAUC: 0.8794	Eval_AUC: 0.8893
Epoch 0 Global_step 68000	Train_loss: 0.5063	Eval_GAUC: 0.8696	Eval_AUC: 0.8777
Epoch 0 Global_step 69000	Train_loss: 0.4954	Eval_GAUC: 0.8541	Eval_AUC: 0.8631
Epoch 0 Global_step 70000	Train_loss: 0.5026	Eval_GAUC: 0.8625	Eval_AUC: 0.8695
Epoch 0 Global_step 71000	Train_loss: 0.5004	Eval_GAUC: 0.8702	Eval_AUC: 0.8783
Epoch 0 Global_step 72000	Train_loss: 0.4946	Eval_GAUC: 0.8818	Eval_AUC: 0.8900
Epoch 0 Global_step 73000	Train_loss: 0.4930	Eval_GAUC: 0.8628	Eval_AUC: 0.8720
Epoch 0 Global_step 74000	Train_loss: 0.4958	Eval_GAUC: 0.8891	Eval_AUC: 0.8957
Epoch 0 Global_step 75000	Train_loss: 0.4946	Eval_GAUC: 0.8714	Eval_AUC: 0.8779
Epoch 0 Global_step 76000	Train_loss: 0.4925	Eval_GAUC: 0.8869	Eval_AUC: 0.8932
Epoch 0 Global_step 77000	Train_loss: 0.4943	Eval_GAUC: 0.8511	Eval_AUC: 0.8574
Epoch 0 Global_step 78000	Train_loss: 0.4864	Eval_GAUC: 0.8686	Eval_AUC: 0.8730
Epoch 0 Global_step 79000	Train_loss: 0.4899	Eval_GAUC: 0.8657	Eval_AUC: 0.8732
Epoch 0 Global_step 80000	Train_loss: 0.4860	Eval_GAUC: 0.9019	Eval_AUC: 0.9081
Epoch 0 Global_step 81000	Train_loss: 0.4879	Eval_GAUC: 0.9115	Eval_AUC: 0.9167
Epoch 0 DONE	Cost time: 15492.15
Epoch 1 Global_step 82000	Train_loss: 0.2179	Eval_GAUC: 0.9003	Eval_AUC: 0.9079
Epoch 1 Global_step 83000	Train_loss: 0.4643	Eval_GAUC: 0.8867	Eval_AUC: 0.8928
Epoch 1 Global_step 84000	Train_loss: 0.4662	Eval_GAUC: 0.8700	Eval_AUC: 0.8782
Epoch 1 Global_step 85000	Train_loss: 0.4689	Eval_GAUC: 0.9028	Eval_AUC: 0.9081
Epoch 1 Global_step 86000	Train_loss: 0.4656	Eval_GAUC: 0.8813	Eval_AUC: 0.8882
Epoch 1 Global_step 87000	Train_loss: 0.4675	Eval_GAUC: 0.8965	Eval_AUC: 0.9024
Epoch 1 Global_step 88000	Train_loss: 0.4718	Eval_GAUC: 0.8775	Eval_AUC: 0.8856
Epoch 1 Global_step 89000	Train_loss: 0.4689	Eval_GAUC: 0.8953	Eval_AUC: 0.9025
Epoch 1 Global_step 90000	Train_loss: 0.4718	Eval_GAUC: 0.8995	Eval_AUC: 0.9052
Epoch 1 Global_step 91000	Train_loss: 0.4708	Eval_GAUC: 0.9078	Eval_AUC: 0.9117
Epoch 1 Global_step 92000	Train_loss: 0.4721	Eval_GAUC: 0.8892	Eval_AUC: 0.8948
Epoch 1 Global_step 93000	Train_loss: 0.4671	Eval_GAUC: 0.8985	Eval_AUC: 0.9016
Epoch 1 Global_step 94000	Train_loss: 0.4678	Eval_GAUC: 0.9045	Eval_AUC: 0.9073
Epoch 1 Global_step 95000	Train_loss: 0.4615	Eval_GAUC: 0.8842	Eval_AUC: 0.8918
Epoch 1 Global_step 96000	Train_loss: 0.4675	Eval_GAUC: 0.8793	Eval_AUC: 0.8860
Epoch 1 Global_step 97000	Train_loss: 0.4693	Eval_GAUC: 0.9018	Eval_AUC: 0.9068
Epoch 1 Global_step 98000	Train_loss: 0.4674	Eval_GAUC: 0.8931	Eval_AUC: 0.8987
Epoch 1 Global_step 99000	Train_loss: 0.4716	Eval_GAUC: 0.9087	Eval_AUC: 0.9145
Epoch 1 Global_step 100000	Train_loss: 0.4689	Eval_GAUC: 0.8958	Eval_AUC: 0.9018
Epoch 1 Global_step 101000	Train_loss: 0.4669	Eval_GAUC: 0.9117	Eval_AUC: 0.9168
Epoch 1 Global_step 102000	Train_loss: 0.4622	Eval_GAUC: 0.8929	Eval_AUC: 0.8980
Epoch 1 Global_step 103000	Train_loss: 0.4678	Eval_GAUC: 0.8864	Eval_AUC: 0.8932
Epoch 1 Global_step 104000	Train_loss: 0.4737	Eval_GAUC: 0.8900	Eval_AUC: 0.8961
Epoch 1 Global_step 105000	Train_loss: 0.4672	Eval_GAUC: 0.9136	Eval_AUC: 0.9193
Epoch 1 Global_step 106000	Train_loss: 0.4661	Eval_GAUC: 0.8923	Eval_AUC: 0.8978
Epoch 1 Global_step 107000	Train_loss: 0.4650	Eval_GAUC: 0.8932	Eval_AUC: 0.8991
Epoch 1 Global_step 108000	Train_loss: 0.4634	Eval_GAUC: 0.9023	Eval_AUC: 0.9083
