WARNING:tensorflow:From train.py:17: The name tf.set_random_seed is deprecated. Please use tf.compat.v1.set_random_seed instead.

WARNING:tensorflow:From train.py:105: The name tf.Session is deprecated. Please use tf.compat.v1.Session instead.

2024-07-08 10:36:32.055521: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2024-07-08 10:36:32.070661: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x7fe4f2cb61e0 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
2024-07-08 10:36:32.070699: I tensorflow/compiler/xla/service/service.cc:176]   StreamExecutor device (0): Host, Default Version
WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:10: The name tf.placeholder is deprecated. Please use tf.compat.v1.placeholder instead.

WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:54: The name tf.get_variable is deprecated. Please use tf.compat.v1.get_variable instead.

WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:67: dense (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.Dense instead.
WARNING:tensorflow:From /Users/qfy/anaconda3/envs/tensorflow/lib/python3.7/site-packages/tensorflow_core/python/layers/core.py:187: Layer.apply (from tensorflow.python.keras.engine.base_layer) is deprecated and will be removed in a future version.
Instructions for updating:
Please use `layer.__call__` method instead.
WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:260: The name tf.AUTO_REUSE is deprecated. Please use tf.compat.v1.AUTO_REUSE instead.

WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:269: where (from tensorflow.python.ops.array_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.where in 2.0, which has the same broadcast rule as np.where
WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:89: batch_normalization (from tensorflow.python.layers.normalization) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.BatchNormalization instead.  In particular, `tf.control_dependencies(tf.GraphKeys.UPDATE_OPS)` should not be used (consult the `tf.keras.layers.batch_normalization` documentation).
WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/Dice.py:4: The name tf.variable_scope is deprecated. Please use tf.compat.v1.variable_scope instead.

WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:168: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use `tf.cast` instead.
WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:182: The name tf.assign is deprecated. Please use tf.compat.v1.assign instead.

WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:190: The name tf.trainable_variables is deprecated. Please use tf.compat.v1.trainable_variables instead.

WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:191: The name tf.train.GradientDescentOptimizer is deprecated. Please use tf.compat.v1.train.GradientDescentOptimizer instead.

WARNING:tensorflow:From train.py:108: The name tf.global_variables_initializer is deprecated. Please use tf.compat.v1.global_variables_initializer instead.

WARNING:tensorflow:From train.py:109: The name tf.local_variables_initializer is deprecated. Please use tf.compat.v1.local_variables_initializer instead.

WARNING:tensorflow:From /Users/qfy/Desktop/DeepInterestNetwork-master/din/model_dice.py:230: The name tf.train.Saver is deprecated. Please use tf.compat.v1.train.Saver instead.

user_emb[0][0]: 0.01657
[None, 300]
[None, 300]
[None, 300]
[None, 300]
(?, 100, ?, 1200)
[None, 100, 300]
[None, 2]
test_gauc: 0.5956	 test_auc: 0.5869
Epoch 0 Global_step 1000	Train_loss: 0.5828	Eval_GAUC: 0.6064	Eval_AUC: 0.6062
Epoch 0 Global_step 2000	Train_loss: 0.5547	Eval_GAUC: 0.6021	Eval_AUC: 0.6018
Epoch 0 Global_step 3000	Train_loss: 0.5498	Eval_GAUC: 0.5411	Eval_AUC: 0.5409
Epoch 0 Global_step 4000	Train_loss: 0.5502	Eval_GAUC: 0.5681	Eval_AUC: 0.5680
Epoch 0 Global_step 5000	Train_loss: 0.5449	Eval_GAUC: 0.5273	Eval_AUC: 0.5275
Epoch 0 Global_step 6000	Train_loss: 0.5465	Eval_GAUC: 0.5724	Eval_AUC: 0.5726
Epoch 0 Global_step 7000	Train_loss: 0.5395	Eval_GAUC: 0.5400	Eval_AUC: 0.5404
Epoch 0 Global_step 8000	Train_loss: 0.5434	Eval_GAUC: 0.5071	Eval_AUC: 0.5073
Epoch 0 Global_step 9000	Train_loss: 0.5412	Eval_GAUC: 0.5654	Eval_AUC: 0.5645
Epoch 0 Global_step 10000	Train_loss: 0.5437	Eval_GAUC: 0.5536	Eval_AUC: 0.5524
Epoch 0 Global_step 11000	Train_loss: 0.5416	Eval_GAUC: 0.5468	Eval_AUC: 0.5473
Epoch 0 Global_step 12000	Train_loss: 0.5403	Eval_GAUC: 0.5797	Eval_AUC: 0.5793
Epoch 0 Global_step 13000	Train_loss: 0.5389	Eval_GAUC: 0.6070	Eval_AUC: 0.6072
Epoch 0 Global_step 14000	Train_loss: 0.5364	Eval_GAUC: 0.5874	Eval_AUC: 0.5859
Epoch 0 Global_step 15000	Train_loss: 0.5313	Eval_GAUC: 0.5719	Eval_AUC: 0.5721
Epoch 0 Global_step 16000	Train_loss: 0.5305	Eval_GAUC: 0.5931	Eval_AUC: 0.5938
Epoch 0 Global_step 17000	Train_loss: 0.5263	Eval_GAUC: 0.6055	Eval_AUC: 0.6048
Epoch 0 Global_step 18000	Train_loss: 0.5225	Eval_GAUC: 0.6003	Eval_AUC: 0.6021
Epoch 0 Global_step 19000	Train_loss: 0.5205	Eval_GAUC: 0.5722	Eval_AUC: 0.5730
Epoch 0 Global_step 20000	Train_loss: 0.5180	Eval_GAUC: 0.5885	Eval_AUC: 0.5890
Epoch 0 Global_step 21000	Train_loss: 0.5207	Eval_GAUC: 0.6234	Eval_AUC: 0.6282
Epoch 0 Global_step 22000	Train_loss: 0.5203	Eval_GAUC: 0.5972	Eval_AUC: 0.5977
Epoch 0 Global_step 23000	Train_loss: 0.5176	Eval_GAUC: 0.5878	Eval_AUC: 0.5901
Epoch 0 Global_step 24000	Train_loss: 0.5136	Eval_GAUC: 0.6182	Eval_AUC: 0.6217
Epoch 0 Global_step 25000	Train_loss: 0.5129	Eval_GAUC: 0.6355	Eval_AUC: 0.6368
Epoch 0 Global_step 26000	Train_loss: 0.5195	Eval_GAUC: 0.6043	Eval_AUC: 0.6064
Epoch 0 Global_step 27000	Train_loss: 0.5122	Eval_GAUC: 0.6299	Eval_AUC: 0.6328
Epoch 0 Global_step 28000	Train_loss: 0.5073	Eval_GAUC: 0.6576	Eval_AUC: 0.6595
Epoch 0 Global_step 29000	Train_loss: 0.5121	Eval_GAUC: 0.6165	Eval_AUC: 0.6172
Epoch 0 Global_step 30000	Train_loss: 0.5205	Eval_GAUC: 0.6363	Eval_AUC: 0.6391
Epoch 0 Global_step 31000	Train_loss: 0.5128	Eval_GAUC: 0.6112	Eval_AUC: 0.6106
Epoch 0 Global_step 32000	Train_loss: 0.5061	Eval_GAUC: 0.6245	Eval_AUC: 0.6258
Epoch 0 Global_step 33000	Train_loss: 0.5117	Eval_GAUC: 0.5492	Eval_AUC: 0.5495
Epoch 0 Global_step 34000	Train_loss: 0.5003	Eval_GAUC: 0.6813	Eval_AUC: 0.6820
Epoch 0 Global_step 35000	Train_loss: 0.5056	Eval_GAUC: 0.6745	Eval_AUC: 0.6763
Epoch 0 Global_step 36000	Train_loss: 0.5078	Eval_GAUC: 0.6805	Eval_AUC: 0.6825
